region_type,region,food_poor,food_non_poor,absolute_poor,absolute_non_poor,relative_poor,relative_non_poor,dollar_poor,dollar_non_poor
urban_rural,Urban,26.7,73.3,52,48,61.8,38.2,52.4,47.6
urban_rural,Rural,48.3,51.7,66.1,33.9,73.2,26.8,66.3,33.7
national,National,41,59,60.9,39.1,69,31,61.2,38.8
zone,North-Central,38.6,61.4,59.5,40.5,67.5,32.5,59.7,40.3
zone,North-East,51.5,48.5,69,31,76.3,23.7,69.1,30.9
zone,North-West,51.8,48.2,70,30,77.7,22.3,70.4,29.6
zone,South-East,41,59,58.7,41.3,67,33,59.2,40.8
zone,South-South,35.5,64.5,55.9,44.1,63.8,36.2,56.1,43.9
zone,South-West,25.4,74.6,49.8,50.2,59.1,40.9,50.1,49.9
state,Abia,30.5,69.5,57.4,42.6,63.4,36.6,57.8,42.2
state,Adamawa,55.4,44.6,74.2,25.8,80.7,19.3,74.3,25.7
state,Akwa-Ibom,35.6,64.4,53.7,46.3,62.8,37.2,53.8,46.2
state,Anambra,34.2,65.8,56.8,43.2,68,32,57.4,42.6
state,Bauchi,54.1,45.9,73,27,83.7,16.3,73.1,26.9
state,Bayelsa,23.3,76.7,47,53,57.9,42.1,47,53
state,Benue,48.5,51.5,67.1,32.9,74.1,25.9,67.2,32.8
state,Borno,33.2,66.8,55.1,44.9,61.1,38.9,55.1,44.9
state,Cross-River,46.4,53.6,52.9,47.1,59.7,40.3,52.9,47.1
state,Delta,42.8,57.2,63.3,36.7,70.1,29.9,63.6,36.4
state,Ebonyi,63.5,36.5,73.6,26.4,80.4,19.6,73.6,26.4
state,Edo,39.4,60.6,65.6,34.4,72.5,27.5,66,34
state,Ekiti,35.8,64.2,52.4,47.6,59.1,40.9,52.6,47.4
state,Enugu,52.7,47.3,62.5,37.5,72.1,27.9,63.4,36.6
state,Gombe,71.5,28.5,74.2,25.8,79.8,20.2,74.2,25.8
state,Imo,33.3,66.7,50.5,49.5,57.3,42.7,50.7,49.3
state,Jigawa,71.1,28.9,74.1,25.9,79,21,74.2,25.8
state,Kaduna,41.7,58.3,61.5,38.5,73,27,61.8,38.2
state,Kano,48.3,51.7,65.6,34.4,72.3,27.7,66,34
state,Katsina,56.2,43.8,74.5,25.5,82,18,74.8,25.2
state,Kebbi,47,53,72,28,80.5,19.5,72.5,27.5
state,Kogi,50.1,49.9,67.1,32.9,73.5,26.5,67.3,32.7
state,Kwara,38.1,61.9,61.8,38.2,74.3,25.7,62,38
state,Lagos,14.6,85.4,48.6,51.4,59.2,40.8,49.3,50.7
state,Nasarawa,26.8,73.2,60.4,39.6,71.7,28.3,60.4,39.6
state,Niger,20.4,79.6,33.8,66.2,43.6,56.4,33.9,66.1
state,Ogun,41.8,58.2,62.3,37.7,69,31,62.5,37.5
state,Ondo,36.1,63.9,45.7,54.3,57,43,46.1,53.9
state,Osun,19.5,80.5,37.9,62.1,47.5,52.5,38.1,61.9
state,Oyo,24.6,75.4,51.8,48.2,60.7,39.3,51.8,48.2
state,Plateau,44,56,74.1,25.9,79.7,20.3,74.7,25.3
state,Rivers,26.3,73.7,50.4,49.6,58.6,41.4,50.6,49.4
state,Sokoto,56.6,43.4,81.2,18.8,86.4,13.6,81.9,18.1
state,Taraba,45.2,54.8,68.9,31.1,76.3,23.7,68.9,31.1
state,Yobe,58.5,41.5,73.8,26.2,79.6,20.4,74.1,25.9
state,Zamfara,44.4,55.6,70.8,29.2,80.2,19.8,71.3,28.7
state,Federal Capital Territory,32.5,67.5,55.6,44.4,59.9,40.1,55.6,44.4
